;Transformation;Suppressed tuples;C4.5.acc1;C4.5.acc2;LR.acc1;LR.acc2;AECS;Disc.;Precision;Loss;Ambiguity;KL-Div.;NUEntropy;NUEntropyN
Data set;Value;Value;Value;Value;Value;Value;Value;Value;Value;Value;Value;Value;Value;Value
ADULT;[0, 0, 0, 0, 0, 0, 0];60%;0.9518072289156624;0.9960722702278088;0.8909221385001798;0.8075748320097743;7.678361579766564E-4;0.5969786542026183;0.5968768649293813;0.5968768649293914;0.5968768649293813;0.13301700462477087;0.6637470575326554;0.7201009611816571
ADULT;[1, 0, 0, 0, 0, 0, 0];51%;0.7453695378529039;0.7046347211311869;0.7003946896304273;0.6774587660354301;7.520330456935889E-4;0.5141090347658341;0.5833641194691522;0.5840318051751697;0.5139248114053161;0.1334470483712051;0.6144546336415073;0.7189830619371838
ADULT;[0, 1, 0, 0, 0, 0, 0];34%;1.012048192771084;1.0023566378633149;0.99102978112666;0.9523518631643245;7.74186833130516E-4;0.3455625086152237;0.36820455255903833;0.34862287547788207;0.3448047500610171;0.07298912886398032;0.5100610749979294;0.5257015964731163
ADULT;[0, 0, 1, 0, 0, 0, 0];53%;0.9636755979140443;0.8656716417910448;0.9108360243989957;0.8405620036652417;6.908891815641449E-4;0.5324606060468529;0.5991360936656343;0.5997785037719432;0.532325463230478;0.23601769053508473;0.6158596005336361;0.6978021056076728
ADULT;[0, 0, 0, 1, 0, 0, 0];48%;0.9624168315051247;0.6779261586802816;0.9422317904556874;0.7935247403787415;6.630732634546404E-4;0.47638910807521295;0.5011382976372031;0.4912934895156378;0.47619522982749435;0.17719247199600038;0.5825698631639429;0.6447219505156302
ADULT;[0, 0, 0, 0, 1, 0, 0];58%;0.9604387700053947;1.010997643362138;0.9059921062073918;0.8466707391569943;7.400756464671652E-4;0.5811370346916954;0.6109556016558205;0.5972416322092258;0.5810291602766436;0.3279511021880873;0.6521331933871688;0.7141966715451253
ADULT;[0, 0, 0, 0, 0, 1, 0];51%;0.9597194749145838;0.9945011783189323;0.9266236096160749;0.8869883934025649;6.493987023334507E-4;0.50836448436161;0.5433492473973874;0.525954636628899;0.5082222772696167;0.18351332765976874;0.5965499564797517;0.6715949280963016
ADULT;[0, 0, 0, 0, 0, 0, 1];45%;0.9742852005035066;1.021209740769835;0.9210620739146039;0.8246792913866833;7.486762396965281E-4;0.45269729156640565;0.49150539467826126;0.4715669997399147;0.4523904470218553;0.15605985207448675;0.5889422112628103;0.6377974297943074
ADULT;[1, 1, 0, 0, 0, 0, 0];28%;0.7725229275310197;0.8758837391987422;0.7730534625044851;0.7654245571166761;8.376392069731241E-4;0.28391957556430003;0.410822037189652;0.3903706890329453;0.28273994251807516;0.09538120926792078;0.4944110172227584;0.5644264659856304
